batman,bowler,0,1,2,3,4,6,notout,balls
LMP Simmons,JD Unadkat,0.5833333333,1,1,1,1,1,0.9166666667,12
MC Henriques,YS Chahal,0.3636363636,0.8181818182,1,1,1,1,0.9090909091,11
Yuvraj Singh,A Choudhary,0.3636363636,0.5454545455,0.6363636364,0.6363636364,0.9090909091,1,1,11
JC Buttler,DL Chahar,0.5454545455,0.5454545455,0.6363636364,0.6363636364,0.9090909091,1,1,11
N Rana,BA Stokes,0.6363636364,0.9090909091,0.9090909091,0.9090909091,0.9090909091,1,1,11
HH Pandya,AB Dinda,0.3636363636,0.5454545455,0.5454545455,0.5454545455,0.6363636364,1,0.9090909091,11
SK Raina,TA Boult,0.2727272727,0.7272727273,0.7272727273,0.7272727273,1,1,1,11
CA Lynn,S Kaushik,0.4545454545,0.7272727273,0.7272727273,0.7272727273,0.9090909091,1,1,11
BA Stokes,AR Patel,0.3636363636,0.8181818182,0.8181818182,0.8181818182,0.9090909091,1,0.9090909091,11
SR Watson,S Nadeem,0.6363636364,1,1,1,1,1,0.9090909091,11
KM Jadhav,A Mishra,0.2727272727,0.3636363636,0.5454545455,0.5454545455,0.7272727273,1,1,11
RR Pant,YS Chahal,0.4545454545,0.9090909091,1,1,1,1,1,11
DA Warner,Basil Thampi,0.3636363636,0.6363636364,0.7272727273,0.7272727273,1,1,1,11
MK Pandey,Harbhajan Singh,0.2727272727,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
M Vohra,B Stanlake,0.3636363636,0.9090909091,0.9090909091,0.9090909091,0.9090909091,1,1,11
SV Samson,DL Chahar,0.2727272727,0.6363636364,0.7272727273,0.7272727273,1,1,1,11
SV Samson,BA Stokes,0.2727272727,0.7272727273,0.8181818182,0.8181818182,1,1,1,11
BA Stokes,PJ Cummins,0.6363636364,0.8181818182,0.9090909091,0.9090909091,1,1,0.9090909091,11
S Dhawan,JJ Bumrah,0.2727272727,0.7272727273,0.8181818182,0.9090909091,1,1,1,11
GJ Maxwell,C de Grandhomme,0.2727272727,0.6363636364,0.8181818182,0.8181818182,0.8181818182,1,1,11
G Gambhir,I Sharma,0.6363636364,0.7272727273,0.7272727273,0.7272727273,1,1,1,11
G Gambhir,MM Sharma,0.2727272727,0.8181818182,0.8181818182,0.8181818182,1,1,1,11
KM Jadhav,JJ Bumrah,0.0909090909,0.6363636364,0.9090909091,0.9090909091,1,1,1,11
BA Stokes,RA Jadeja,0.1818181818,0.6363636364,0.7272727273,0.7272727273,0.7272727273,1,1,11
MK Pandey,MC Henriques,0.0909090909,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
NV Ojha,TA Boult,0.3636363636,0.7272727273,0.9090909091,0.9090909091,0.9090909091,1,0.9090909091,11
BB McCullum,JJ Bumrah,0.5454545455,0.7272727273,0.8181818182,0.8181818182,0.9090909091,1,1,11
RG Sharma,RA Jadeja,0.4545454545,0.9090909091,0.9090909091,0.9090909091,0.9090909091,1,1,11
KA Pollard,Basil Thampi,0.0909090909,0.9090909091,0.9090909091,0.9090909091,1,1,0.9090909091,11
AM Rahane,AF Milne,0.4545454545,0.8181818182,0.8181818182,0.8181818182,1,1,1,11
SPD Smith,S Aravind,0.5454545455,0.8181818182,0.9090909091,0.9090909091,1,1,0.9090909091,11
KM Jadhav,DT Christian,0.3636363636,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
G Gambhir,Z Khan,0.4545454545,0.8181818182,1,1,1,1,0.9090909091,11
RV Uthappa,PJ Cummins,0.3636363636,0.7272727273,0.7272727273,0.7272727273,0.9090909091,1,0.9090909091,11
MK Pandey,A Mishra,0.2727272727,0.6363636364,0.7272727273,0.7272727273,0.8181818182,1,1,11
MK Pandey,Mohammed Shami,0.3636363636,0.8181818182,0.9090909091,0.9090909091,1,1,1,11
NV Ojha,AR Patel,0.2727272727,0.6363636364,0.8181818182,0.8181818182,0.9090909091,1,1,11
EJG Morgan,S Kaul,0.3636363636,1,1,1,1,1,1,11
M Vohra,Mohammad Nabi,0.3636363636,0.6363636364,0.7272727273,0.8181818182,1,1,1,11
CH Gayle,Basil Thampi,0.5454545455,0.8181818182,0.9090909091,0.9090909091,0.9090909091,1,0.9090909091,11
BB McCullum,YS Chahal,0.2727272727,0.9090909091,0.9090909091,0.9090909091,0.9090909091,1,0.9090909091,11
KS Williamson,Z Khan,0.2727272727,0.8181818182,0.8181818182,0.8181818182,1,1,1,11
S Dhawan,A Mishra,0.2727272727,0.8181818182,0.9090909091,0.9090909091,1,1,0.9090909091,11
SV Samson,Mohammed Siraj,0.2727272727,0.7272727273,0.8181818182,0.8181818182,0.8181818182,1,0.8181818182,11
SV Samson,Rashid Khan,0.4545454545,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
SE Marsh,Harbhajan Singh,0.3636363636,0.8181818182,0.8181818182,0.8181818182,0.9090909091,1,1,11
PA Patel,Sandeep Sharma,0.4545454545,0.9090909091,1,1,1,1,1,11
RV Uthappa,RA Jadeja,0.2727272727,0.8181818182,0.8181818182,0.8181818182,1,1,1,11
KA Pollard,Z Khan,0.2727272727,0.7272727273,0.7272727273,0.7272727273,1,1,1,11
KK Nair,MJ McClenaghan,0.3636363636,0.7272727273,0.7272727273,0.7272727273,0.9090909091,1,1,11
CH Morris,Harbhajan Singh,0.3636363636,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
RA Tripathi,Bipul Sharma,0.4545454545,0.9090909091,0.9090909091,0.9090909091,1,1,1,11
MS Dhoni,Rashid Khan,0.6363636364,0.9090909091,1,1,1,1,0.9090909091,11
MS Dhoni,S Kaul,0.2727272727,0.6363636364,0.7272727273,0.7272727273,0.9090909091,1,0.9090909091,11
SE Marsh,Basil Thampi,0.2727272727,0.7272727273,0.7272727273,0.7272727273,1,1,1,11
SK Raina,MM Sharma,0.1818181818,0.8181818182,0.8181818182,0.8181818182,0.9090909091,1,1,11
KD Karthik,T Natarajan,0.0909090909,0.6363636364,0.8181818182,0.9090909091,1,1,1,11
DR Smith,AR Patel,0.3636363636,0.7272727273,0.7272727273,0.7272727273,0.8181818182,1,0.9090909091,11
YK Pathan,YS Chahal,0.7272727273,0.9090909091,1,1,1,1,0.9090909091,11
CR Woakes,P Negi,0.6363636364,0.8181818182,0.8181818182,0.8181818182,1,1,1,11
